cluster,names,scores,logfoldchanges,pvals,pvals_adj
3,HLA-DPA1,5.938767,4.397085,2.87174040723758e-09,1.1655245616814442e-05
3,CD37,5.841913,3.3220053,5.1604636951973705e-09,1.7453548294440043e-05
3,HLA-DRB1,5.650569,4.7244744,1.599177176655645e-08,4.636014635124715e-05
3,HLA-DPB1,5.4190655,4.0921655,5.991132249622647e-08,0.00015197255842699047
3,LINC00926,5.3505597,8.270133,8.76826827289249e-08,0.0001977049645131192
3,HLA-DRA,5.2631555,4.342674,1.4160387736682938e-07,0.00028735674834050686
3,BANK1,5.218272,6.026249,1.8060010922088905e-07,0.0003331743651290456
3,HLA-DQA1,5.1639395,5.7617927,2.418057343023289e-07,0.0004089136471830967
3,IGKC,4.9938555,6.0928054,5.918565676688417e-07,0.000923888102131062
3,IGHD,4.9088135,7.7136993,9.162901950669363e-07,0.0013281626377495241
3,SWAP70,4.7812505,5.5629354,1.7420804768541147e-06,0.00212896821294326
3,BCL11A,4.776526,5.585433,1.7834947824390393e-06,0.00212896821294326
3,PLPP5,4.7103825,5.0720453,2.4725262396971408e-06,0.002787498610120782
3,STX7,4.641876,3.7063253,3.4525974033010027e-06,0.003687555742378276
3,HLA-DMB,4.6253405,4.72053,3.7398397935534657e-06,0.003794628446529024
3,RALGPS2,4.502502,7.308386,6.7158190737100205e-06,0.006194732566490792
3,TNFRSF13C,4.459981,6.464466,8.19670026714999e-06,0.007231984283533683
3,P2RX5,4.377301,5.3271065,1.201579537249919e-05,0.010159855645588587
3,FCMR,4.3678517,2.9627023,1.2547450355844809e-05,0.010185016402846348
3,CD79B,4.249738,4.807396,2.1402065895237742e-05,0.016428331410708312
3,HLA-DRB5,4.2450137,4.638447,2.1858027304446085e-05,0.016428331410708312
4,TYROBP,7.866286,6.7184076,3.653260559187596e-15,7.413561652759388e-11
4,MNDA,7.693592,7.338332,1.4306065727902518e-14,1.2315485214071637e-10
4,CST3,7.6450825,5.145818,2.08811114443117e-14,1.2315485214071637e-10
4,S100A8,7.625679,6.6093388,2.427533674483149e-14,1.2315485214071637e-10
4,TYMP,7.5829906,4.783019,3.376792264974203e-14,1.37050490866243e-10
4,LYZ,7.532541,6.5273943,4.976234956296488e-14,1.683045599468744e-10
4,PSAP,7.507316,5.161183,6.035194223813422e-14,1.749602805483511e-10
4,AIF1,7.4277606,5.291896,1.1045168562871807e-13,2.8017450705794697e-10
4,FCN1,7.3385034,7.8648252,2.1599571434010562e-13,4.870223367893071e-10
4,FTL,7.2880535,2.83437,3.1446525534730514e-13,6.381443426762862e-10
